Status,Source Unit,Destination Unit,Source Clock Domain,Destination Clock Domain,Local Source Clock,Local Destination Clock,Pair Classification,Violation,Scheme,Id,Domain Crossing,Number of Pair Bits
Passed,u_HARVESTER.out_valid_raw,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,151,{clk2 clk1},32
Passed,u_HARVESTER.cs,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,152,{clk2 clk3},64
Passed,u_FIFO_syn_AR.wptr[1],u_FIFO_syn_AR.write_to_read_sync.genblk1[1].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,154,{clk2 clk3},1
Passed,u_FIFO_syn_output.rptr[4],u_FIFO_syn_output.read_to_write_sync.genblk1[4].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,34,{clk1 clk2},1
Passed,u_FIFO_syn_output.rptr[5],u_FIFO_syn_output.read_to_write_sync.genblk1[5].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,40,{clk1 clk2},1
Passed,u_FIFO_syn_AR.wptr[6],u_FIFO_syn_AR.write_to_read_sync.genblk1[6].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,43,{clk2 clk3},1
Passed,u_FIFO_syn_AR.wptr[5],u_FIFO_syn_AR.write_to_read_sync.genblk1[5].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,44,{clk2 clk3},1
Passed,u_FIFO_syn_R.wptr[0],u_FIFO_syn_R.write_to_read_sync.genblk1[0].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,47,{clk3 clk2},1
Passed,u_FIFO_syn_AR.wptr[2],u_FIFO_syn_AR.write_to_read_sync.genblk1[2].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,49,{clk2 clk3},1
Passed,u_FIFO_syn_output.rptr[6],u_FIFO_syn_output.read_to_write_sync.genblk1[6].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,50,{clk1 clk2},1
Passed,u_FIFO_syn_output.wptr[5],u_FIFO_syn_output.write_to_read_sync.genblk1[5].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,51,{clk2 clk1},1
Passed,u_FIFO_syn_AR.wptr[4],u_FIFO_syn_AR.write_to_read_sync.genblk1[4].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,55,{clk2 clk3},1
Passed,u_FIFO_syn_R.wptr[6],u_FIFO_syn_R.write_to_read_sync.genblk1[6].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,56,{clk3 clk2},1
Passed,u_FIFO_syn_R.wptr[5],u_FIFO_syn_R.write_to_read_sync.genblk1[5].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,57,{clk3 clk2},1
Passed,u_FIFO_syn_R.wptr[3],u_FIFO_syn_R.write_to_read_sync.genblk1[3].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,58,{clk3 clk2},1
Passed,u_Handshake_syn.sreq,u_Handshake_syn.req_sync.A1,clk1,clk2,clk1,clk2,Control,,u_Handshake_syn.din,59,{clk1 clk2},1
Passed,u_FIFO_syn_R.rptr[6],u_FIFO_syn_R.read_to_write_sync.genblk1[6].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,60,{clk2 clk3},1
Passed,u_FIFO_syn_R.wptr[1],u_FIFO_syn_R.write_to_read_sync.genblk1[1].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,61,{clk3 clk2},1
Passed,u_FIFO_syn_output.wptr[4],u_FIFO_syn_output.write_to_read_sync.genblk1[4].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,64,{clk2 clk1},1
Passed,u_FIFO_syn_output.wptr[3],u_FIFO_syn_output.write_to_read_sync.genblk1[3].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,65,{clk2 clk1},1
Passed,u_FIFO_syn_output.wptr[1],u_FIFO_syn_output.write_to_read_sync.genblk1[1].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,66,{clk2 clk1},1
Passed,u_FIFO_syn_output.wptr_bin_ff[5:0],u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,74,{clk2 clk1},192
Passed,clk3,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,75,{clk3 clk2},32
Passed,clk2,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,82,{clk2 clk1},32
Passed,u_DRAM_SYS.r_out_data_raw,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,83,{clk3 clk2},32
Passed,u_HARVESTER.out_data_raw,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,84,{clk2 clk1},32
Passed,u_FIFO_syn_output.wfull,u_FIFO_syn_output.rdata,clk2,clk1,clk2,clk1,Data,,u_FIFO_syn_output.rdata,85,{clk2 clk1},32
Passed,u_DRAM_SYS.r_out_valid_raw,u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,86,{clk3 clk2},32
Passed,u_FIFO_syn_R.rptr[0],u_FIFO_syn_R.read_to_write_sync.genblk1[0].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,88,{clk2 clk3},1
Passed,u_FIFO_syn_output.rptr[2],u_FIFO_syn_output.read_to_write_sync.genblk1[2].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,89,{clk1 clk2},1
Passed,u_FIFO_syn_AR.wptr[3],u_FIFO_syn_AR.write_to_read_sync.genblk1[3].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_AR.rdata,90,{clk2 clk3},1
Passed,u_FIFO_syn_output.wptr[2],u_FIFO_syn_output.write_to_read_sync.genblk1[2].u_NDFF_syn.A1,clk2,clk1,clk2,clk1,Control,,u_FIFO_syn_output.rdata,92,{clk2 clk1},1
Passed,u_FIFO_syn_R.rptr[3],u_FIFO_syn_R.read_to_write_sync.genblk1[3].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,93,{clk2 clk3},1
Passed,u_FIFO_syn_output.rptr[0],u_FIFO_syn_output.read_to_write_sync.genblk1[0].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,94,{clk1 clk2},1
Passed,u_FIFO_syn_AR.wptr_bin_ff[5:0],u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,95,{clk2 clk3},96
Passed,u_FIFO_syn_AR.wfull,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,99,{clk2 clk3},16
Passed,u_HARVESTER.root_ar_cnt,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,101,{clk2 clk3},48
Passed,u_FIFO_syn_R.rptr[4],u_FIFO_syn_R.read_to_write_sync.genblk1[4].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,104,{clk2 clk3},1
Passed,u_HARVESTER.ar_inflight_cnt,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,105,{clk2 clk3},112
Passed,u_HARVESTER.calc_target_addr,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,106,{clk2 clk3},16
Passed,u_HARVESTER.ar_req_cnt,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,107,{clk2 clk3},176
Passed,u_HARVESTER.in_bank[3],u_FIFO_syn_AR.rdata[15:14],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,108,{clk2 clk3},2
Passed,u_HARVESTER.in_bank[2],u_FIFO_syn_AR.rdata[15:14],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,109,{clk2 clk3},2
Passed,u_HARVESTER.in_src_row[3],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,110,{clk2 clk3},6
Passed,u_HARVESTER.calc_ar_req,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,111,{clk2 clk3},16
Passed,u_HARVESTER.r_merge_idx,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,112,{clk2 clk3},16
Passed,u_HARVESTER.in_src_row[1],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,113,{clk2 clk3},6
Passed,u_FIFO_syn_R.rptr[5],u_FIFO_syn_R.read_to_write_sync.genblk1[5].u_NDFF_syn.A1,clk2,clk3,clk2,clk3,Control,,u_FIFO_syn_R.rdata,114,{clk2 clk3},1
Passed,u_FIFO_syn_R.wptr[2],u_FIFO_syn_R.write_to_read_sync.genblk1[2].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_R.rdata,115,{clk3 clk2},1
Passed,u_FIFO_syn_output.rptr[1],u_FIFO_syn_output.read_to_write_sync.genblk1[1].u_NDFF_syn.A1,clk1,clk2,clk1,clk2,Control,,u_FIFO_syn_output.rdata,118,{clk1 clk2},1
Passed,u_FIFO_syn_R.wptr_bin_ff[5:0],u_FIFO_syn_R.rdata,clk3,clk2,clk3,clk2,Data,,u_FIFO_syn_R.rdata,119,{clk3 clk2},192
Passed,u_FIFO_syn_AR.rptr[0],u_FIFO_syn_AR.read_to_write_sync.genblk1[0].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,120,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[4],u_FIFO_syn_AR.read_to_write_sync.genblk1[4].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,121,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[2],u_FIFO_syn_AR.read_to_write_sync.genblk1[2].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,122,{clk3 clk2},1
Passed,u_HARVESTER.in_src_row[2],u_FIFO_syn_AR.rdata[13:8],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,123,{clk2 clk3},6
Passed,u_FIFO_syn_AR.rptr[6],u_FIFO_syn_AR.read_to_write_sync.genblk1[6].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,124,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[5],u_FIFO_syn_AR.read_to_write_sync.genblk1[5].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,125,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[3],u_FIFO_syn_AR.read_to_write_sync.genblk1[3].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,126,{clk3 clk2},1
Passed,u_FIFO_syn_AR.rptr[1],u_FIFO_syn_AR.read_to_write_sync.genblk1[1].u_NDFF_syn.A1,clk3,clk2,clk3,clk2,Control,,u_FIFO_syn_AR.rdata,127,{clk3 clk2},1
Passed,u_HARVESTER.r_skid_valid,u_FIFO_syn_AR.rdata[15:0],clk2,clk3,clk2,clk3,Data,,u_FIFO_syn_AR.rdata,128,{clk2 clk3},16
